145	Gabay A	2001	INT CONF ACOUST SPEE		2581		Series	Proceedings Paper	0	Joint source-channel coding using structured oversampled filters banks applied to image transmission	WOS:000173806500647
146	Rioul O	2007			46		Book	Proceedings Paper	0	A simple proof of the entropy-power inequality via properties of mutual information	WOS:000257010200010
147	Rioul O	2011	IEEE T INFORM THEORY	57	33		Journal	Article	1	Information Theoretic Proofs of Entropy Power Inequalities	WOS:000285842100003
148	ZAHRADNIK J	1990	PURE APPL GEOPHYS	133	53		Journal	Article	3	A COMBINED STUDY OF MACROSEISMIC DATA AND FOCAL MECHANISMS APPLIED TO THE WEST-BOHEMIAN EARTHQUAKE, CZECHOSLOVAKIA	WOS:A1990CU82800003
149	BARLAUD M	1994	IEEE T IMAGE PROCESS	3	367		Journal	Article	75	PYRAMIDAL LATTICE VECTOR QUANTIZATION FOR MULTISCALE IMAGE-CODING	WOS:A1994PU06800003
150	MOUREAUX JM	1995	ELECTRON LETT	31	1224		Journal	Article	3	COUNTING LATTICE POINTS ON ELLIPSOIDS - APPLICATION TO IMAGE-CODING	WOS:A1995RM21800012
151	Davoine F	1996	IEEE T IMAGE PROCESS	5	338		Journal	Article	52	Fractal image compression based on delaunay triangulation and vector quantization	WOS:A1996TZ09900011
152	Tramini S	1998	INT J IMAG SYST TECH	9	369		Journal	Article	2	Intraframe image decoding based on a nonlinear variational approach	WOS:000076070800007
153	Raffy P	1998	ELECTRON LETT	34	647		Journal	Article	9	Optimal subband bit allocation procedure for very low bit rate image coding	WOS:000073285100031
154	Moureaux JM	1998	IEEE T COMMUN	46	1602		Journal	Article; Proceedings Paper	23	Low-complexity indexing method for Z(n) and D-n lattice quantizers	WOS:000077763900011
155	Tramini S	2000			782		Book	Proceedings Paper	0	Spatio-frequency noise distribution a priori for satellite image joint denoising/deblurring	WOS:000167496500197
156	Lambert-Nebout C	2000	P SOC PHOTO-OPT INS	4115	332		Series	Proceedings Paper	4	On-board optical image compression for future high resolution remote sensing systems	WOS:000167921100034
157	Parisot C	2000	INT GEOSCI REMOTE SE		2651		Book	Proceedings Paper	0	On board strip-based wavelet image coding for future space remote sensing missions	WOS:000172046000862
158	Jung J	2000	P SOC PHOTO-OPT INS	3974	405		Series	Proceedings Paper	0	Removing blocking effects and dropouts in DCT-based video sequences	WOS:000087420800038
159	Loyer P	2000			204		Book	Proceedings Paper	0	Solving lattice codebook enumeration problem for generalized gaussian sources	WOS:000168322900200
160	Parisot C	2000	IEEE IMAGE PROC		653		Series	Proceedings Paper	0	EBWIC: A low complexity and efficient rate constrained wavelet image coder	WOS:000167496300165
161	Gouze A	2000	IEEE IMAGE PROC		665		Series	Proceedings Paper	0	Quincunx lifting scheme for lossy image compression	WOS:000167496300168
